IP Origen,IP Destino,MAC Origen,MAC Destino,Puerto Ori,Puerto Des,Protocolo,Longitud,Hora Captura,Nombre de Dispositivos,Sitio/App Destino,Hostname Remoto,SSID
172.16.78.13,172.16.95.255,12:ad:9e:cd:e7:26,ff:ff:ff:ff:ff:ff,5684,5684,UDP,416,2026-03-05 17:27:16,Equipo-78.13,Puerto 5684,Red-Local,Estudiantes
172.16.78.13,172.16.95.255,12:ad:9e:cd:e7:26,ff:ff:ff:ff:ff:ff,5684,5684,UDP,416,2026-03-05 17:27:16,Equipo-78.13,Puerto 5684,Red-Local,Estudiantes
172.16.76.180,34.54.84.110,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,61971,443,TCP,107,2026-03-05 17:27:16,Equipo-76.180,HTTPS,N/A,Estudiantes
172.16.76.180,34.54.84.110,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,61971,443,TCP,784,2026-03-05 17:27:16,Equipo-76.180,HTTPS,N/A,Estudiantes
172.16.76.180,34.54.84.110,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,61971,443,TCP,85,2026-03-05 17:27:16,Equipo-76.180,HTTPS,N/A,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,60,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,60,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,60,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,117,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1454,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1454,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1454,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1454,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
172.16.76.180,34.54.84.110,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,61971,443,TCP,54,2026-03-05 17:27:16,Equipo-76.180,HTTPS,N/A,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1514,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
34.54.84.110,172.16.76.180,88:15:44:a7:ba:6c,d4:d8:53:5d:25:cd,443,61971,TCP,1394,2026-03-05 17:27:16,Equipo-76.180,Puerto 61971,Red-Local,Estudiantes
172.16.76.180,34.54.84.110,d4:d8:53:5d:25:cd,88:15:44:a7:ba:6c,61971,443,TCP,54,2026-03-05 17:27:16,Equipo-76.180,HTTPS,N/A,Estudiantes
